SaleID,Date,Year,Month,Season,CustomerID,ProductID,ProductName,Category,Quantity,UnitPrice,DiscountPercent,GrossAmount,NetAmount,Channel
SALE-00001,2024-01-01,2024,1,Winter,CUST-0021,PRD-0057,Basic Sun Hat,Accessories,2,22.55,0.2,45.1,36.08,Online
SALE-00002,2024-01-01,2024,1,Winter,CUST-0057,PRD-0054,Premium Flip Flops,Footwear,2,150.32,0.0,300.64,300.64,In-Store
SALE-00003,2024-01-01,2024,1,Winter,CUST-0069,PRD-0062,Premium Beanie,Accessories,2,35.38,0.1,70.76,63.68,In-Store
SALE-00004,2024-01-02,2024,1,Winter,CUST-0037,PRD-0007,Basic Polo Shirt,Tops,2,29.13,0.0,58.26,58.26,Online
SALE-00005,2024-01-02,2024,1,Winter,CUST-0078,PRD-0054,Premium Flip Flops,Footwear,1,150.32,0.0,150.32,150.32,In-Store
SALE-00006,2024-01-03,2024,1,Winter,CUST-0024,PRD-0053,Basic Flip Flops,Footwear,1,120.55,0.1,120.55,108.5,In-Store
SALE-00007,2024-01-03,2024,1,Winter,CUST-0080,PRD-0063,Basic Belt,Accessories,2,20.59,0.0,41.18,41.18,Mobile App
SALE-00008,2024-01-04,2024,1,Winter,CUST-0055,PRD-0003,Basic Blouse,Tops,1,22.01,0.0,22.01,22.01,Online
SALE-00009,2024-01-04,2024,1,Winter,CUST-0036,PRD-0043,Basic Running Shorts,Activewear,1,57.4,0.1,57.4,51.66,In-Store
SALE-00010,2024-01-06,2024,1,Winter,CUST-0062,PRD-0044,Premium Running Shorts,Activewear,1,64.76,0.0,64.76,64.76,In-Store
SALE-00011,2024-01-06,2024,1,Winter,CUST-0069,PRD-0019,Basic Leggings,Bottoms,2,79.88,0.0,159.76,159.76,In-Store
SALE-00012,2024-01-06,2024,1,Winter,CUST-0070,PRD-0042,Premium Sports Bra,Activewear,1,73.12,0.0,73.12,73.12,In-Store
SALE-00013,2024-01-06,2024,1,Winter,CUST-0028,PRD-0012,Premium Jeans,Bottoms,1,106.38,0.0,106.38,106.38,Online
